Periodo,Sexo,Edad,Estado civil,Total
2022T3,Ambos sexos,Total,Casados/Casadas,"1.100,2"
2022T2,Ambos sexos,Total,Casados/Casadas,"1.117,1"
2022T1,Ambos sexos,Total,Casados/Casadas,"1.201,5"
2021T4,Ambos sexos,Total,Casados/Casadas,"1.196,5"
2021T3,Ambos sexos,Total,Casados/Casadas,1.276
2021T2,Ambos sexos,Total,Casados/Casadas,"1.284,4"
2021T1,Ambos sexos,Total,Casados/Casadas,"1.361,4"
2020T4,Ambos sexos,Total,Casados/Casadas,"1.408,4"
2020T3,Ambos sexos,Total,Casados/Casadas,1.329
2020T2,Ambos sexos,Total,Casados/Casadas,"1.276,5"
2020T1,Ambos sexos,Total,Casados/Casadas,"1.281,6"
2019T4,Ambos sexos,Total,Casados/Casadas,"1.257,3"
2019T3,Ambos sexos,Total,Casados/Casadas,1.248
2019T2,Ambos sexos,Total,Casados/Casadas,"1.301,8"
2019T1,Ambos sexos,Total,Casados/Casadas,"1.317,6"
2018T4,Ambos sexos,Total,Casados/Casadas,1.295
2018T3,Ambos sexos,Total,Casados/Casadas,1.290
2018T2,Ambos sexos,Total,Casados/Casadas,"1.416,5"
2018T1,Ambos sexos,Total,Casados/Casadas,"1.566,7"
2017T4,Ambos sexos,Total,Casados/Casadas,1.549
2017T3,Ambos sexos,Total,Casados/Casadas,"1.504,2"
2017T2,Ambos sexos,Total,Casados/Casadas,"1.603,7"
2017T1,Ambos sexos,Total,Casados/Casadas,"1.764,3"
2016T4,Ambos sexos,Total,Casados/Casadas,1.771
2016T3,Ambos sexos,Total,Casados/Casadas,"1.789,8"
2016T2,Ambos sexos,Total,Casados/Casadas,"1.907,6"
2016T1,Ambos sexos,Total,Casados/Casadas,"2.022,2"
2015T4,Ambos sexos,Total,Casados/Casadas,"2.053,4"
2015T3,Ambos sexos,Total,Casados/Casadas,"2.031,7"
2015T2,Ambos sexos,Total,Casados/Casadas,2.197
2015T1,Ambos sexos,Total,Casados/Casadas,"2.352,3"
2014T4,Ambos sexos,Total,Casados/Casadas,"2.347,6"
2014T3,Ambos sexos,Total,Casados/Casadas,"2.305,8"
2014T2,Ambos sexos,Total,Casados/Casadas,"2.398,5"
2014T1,Ambos sexos,Total,Casados/Casadas,2.534
2013T4,Ambos sexos,Total,Casados/Casadas,"2.562,5"
2013T3,Ambos sexos,Total,Casados/Casadas,"2.564,1"
2013T2,Ambos sexos,Total,Casados/Casadas,"2.601,4"
2013T1,Ambos sexos,Total,Casados/Casadas,"2.733,3"
2012T4,Ambos sexos,Total,Casados/Casadas,2.662
2012T3,Ambos sexos,Total,Casados/Casadas,"2.551,2"
2012T2,Ambos sexos,Total,Casados/Casadas,2.468
2012T1,Ambos sexos,Total,Casados/Casadas,"2.471,8"
2011T4,Ambos sexos,Total,Casados/Casadas,"2.322,7"
2011T3,Ambos sexos,Total,Casados/Casadas,"2.182,4"
2011T2,Ambos sexos,Total,Casados/Casadas,"2.097,6"
2011T1,Ambos sexos,Total,Casados/Casadas,2.173
2010T4,Ambos sexos,Total,Casados/Casadas,"2.096,4"
2010T3,Ambos sexos,Total,Casados/Casadas,"1.995,3"
2010T2,Ambos sexos,Total,Casados/Casadas,"2.022,8"
2010T1,Ambos sexos,Total,Casados/Casadas,"2.012,4"
2009T4,Ambos sexos,Total,Casados/Casadas,1.889
2009T3,Ambos sexos,Total,Casados/Casadas,"1.740,1"
2009T2,Ambos sexos,Total,Casados/Casadas,"1.772,9"
2009T1,Ambos sexos,Total,Casados/Casadas,"1.725,3"
2008T4,Ambos sexos,Total,Casados/Casadas,"1.383,4"
2008T3,Ambos sexos,Total,Casados/Casadas,"1.074,2"
2008T2,Ambos sexos,Total,Casados/Casadas,"979,9"
2008T1,Ambos sexos,Total,Casados/Casadas,"921,1"
2007T4,Ambos sexos,Total,Casados/Casadas,"829,6"
2007T3,Ambos sexos,Total,Casados/Casadas,"744,3"
2007T2,Ambos sexos,Total,Casados/Casadas,"736,5"
2007T1,Ambos sexos,Total,Casados/Casadas,797
2006T4,Ambos sexos,Total,Casados/Casadas,"748,4"
2006T3,Ambos sexos,Total,Casados/Casadas,"714,1"
2006T2,Ambos sexos,Total,Casados/Casadas,"745,6"
2006T1,Ambos sexos,Total,Casados/Casadas,"805,9"
2005T4,Ambos sexos,Total,Casados/Casadas,740
2005T3,Ambos sexos,Total,Casados/Casadas,705
2005T2,Ambos sexos,Total,Casados/Casadas,"746,9"
2005T1,Ambos sexos,Total,Casados/Casadas,"841,1"
2004T4,Ambos sexos,Total,Casados/Casadas,"962,9"
2004T3,Ambos sexos,Total,Casados/Casadas,"922,5"
2004T2,Ambos sexos,Total,Casados/Casadas,"933,4"
2004T1,Ambos sexos,Total,Casados/Casadas,963
2003T4,Ambos sexos,Total,Casados/Casadas,"954,5"
2003T3,Ambos sexos,Total,Casados/Casadas,"932,4"
2003T2,Ambos sexos,Total,Casados/Casadas,950
2003T1,Ambos sexos,Total,Casados/Casadas,"984,8"
2002T4,Ambos sexos,Total,Casados/Casadas,"938,9"
2002T3,Ambos sexos,Total,Casados/Casadas,"939,4"
2002T2,Ambos sexos,Total,Casados/Casadas,"892,8"
2002T1,Ambos sexos,Total,Casados/Casadas,"911,9"
2025T1,Ambos sexos,Total,Viudos/Viudas,"29,9"
2024T4,Ambos sexos,Total,Viudos/Viudas,"30,2"
2024T3,Ambos sexos,Total,Viudos/Viudas,"32,6"
2024T2,Ambos sexos,Total,Viudos/Viudas,"32,2"
2024T1,Ambos sexos,Total,Viudos/Viudas,"33,1"
2023T4,Ambos sexos,Total,Viudos/Viudas,"33,4"
2023T3,Ambos sexos,Total,Viudos/Viudas,"29,2"
2023T2,Ambos sexos,Total,Viudos/Viudas,"32,3"
2023T1,Ambos sexos,Total,Viudos/Viudas,"36,5"
2022T4,Ambos sexos,Total,Viudos/Viudas,"34,9"
2022T3,Ambos sexos,Total,Viudos/Viudas,"36,2"
2022T2,Ambos sexos,Total,Viudos/Viudas,"35,2"
2022T1,Ambos sexos,Total,Viudos/Viudas,"47,2"
2021T4,Ambos sexos,Total,Viudos/Viudas,"38,5"
2021T3,Ambos sexos,Total,Viudos/Viudas,"43,6"
2021T2,Ambos sexos,Total,Viudos/Viudas,"38,3"
2021T1,Ambos sexos,Total,Viudos/Viudas,"33,2"
2020T4,Ambos sexos,Total,Viudos/Viudas,"37,8"
2020T3,Ambos sexos,Total,Viudos/Viudas,"47,6"
2020T2,Ambos sexos,Total,Viudos/Viudas,"36,3"
2020T1,Ambos sexos,Total,Viudos/Viudas,"38,8"
2019T4,Ambos sexos,Total,Viudos/Viudas,"40,7"
2019T3,Ambos sexos,Total,Viudos/Viudas,"37,9"
2019T2,Ambos sexos,Total,Viudos/Viudas,"31,1"
2019T1,Ambos sexos,Total,Viudos/Viudas,"33,3"
2018T4,Ambos sexos,Total,Viudos/Viudas,"40,4"
2018T3,Ambos sexos,Total,Viudos/Viudas,"36,5"
2018T2,Ambos sexos,Total,Viudos/Viudas,"45,3"
2018T1,Ambos sexos,Total,Viudos/Viudas,"53,4"
2017T4,Ambos sexos,Total,Viudos/Viudas,"50,1"
